Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,hour,minute,Hour,Minute,Time_period,Is_peak_hour,Is_night,Is_weekend
Saturday,18-30,Male,Above high school,Owner,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Turnover,Unknown,Normal,Not a Pedestrian,Changing lane to the left,14,40,14,40,Afternoon,0,0,1
Saturday,31-50,Male,Above high school,Employee,No Licence,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,14,40,14,40,Afternoon,0,0,1
Thursday,18-30,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,No distancing,17,45,17,45,Evening,1,0,0
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (41?100Q),Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Waiting to go,Other,Normal,Not a Pedestrian,No priority to vehicle,17,45,17,45,Evening,1,0,0
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,No distancing,17,45,17,45,Evening,1,0,0
Monday,18-30,Female,Junior high school,Employee,Above 10yr,Lorry (11?40Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Going straight,Unknown,Unknown,Not a Pedestrian,No distancing,22,45,22,45,Night,0,1,0
Monday,18-30,Male,Junior high school,Owner,5-10yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,22,45,22,45,Night,0,1,0
Monday,18-30,Male,Elementary school,Employee,2-5yr,Public (13?45 seats),Owner,Unknown,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,22,45,22,45,Night,0,1,0
Monday,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,Moving Backward,Unemployed,Normal,Not a Pedestrian,No priority to pedestrian,22,45,22,45,Night,0,1,0
Tuesday,18-30,Male,Junior high school,Employee,Below 1yr,Long lorry,Owner,5-10yrs,No defect,Residential areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,Moving Backward,8,20,8,20,Morning,1,0,0
Tuesday,Under 18,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,Unknown,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,Getting off the vehicle improperly,8,20,8,20,Morning,1,0,0
Thursday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (11?40Q),Owner,5-10yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Moving Backward,Driver,Normal,Not a Pedestrian,Overtaking,15,10,15,10,Afternoon,0,0,0
Thursday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (41?100Q),Owner,Unknown,No defect,  Recreational areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Other,Getting off,Driver,Normal,Not a Pedestrian,Overloading,12,11,12,11,Afternoon,0,0,0
Thursday,31-50,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,Unknown, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,Reversing,Employee,Normal,Not a Pedestrian,Changing lane to the right,12,11,12,11,Afternoon,0,0,0
Wednesday,18-30,Male,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Residential areas,other,Unknown,Crossing,Asphalt roads with some distress,Dry,Daylight,Normal,Collision with animals,Turnover,Driver,Normal,Not a Pedestrian,Improper parking,18,36,18,36,Evening,1,0,0
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Taxi,Owner,Above 10yr,No defect,Residential areas,other,Tangent road with rolling terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Self-employed,Normal,Not a Pedestrian,Other,18,36,18,36,Evening,1,0,0
Wednesday,18-30,Unknown,Junior high school,Employee,5-10yr,Unknown,Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,18,36,18,36,Evening,1,0,0
Friday,18-30,Male,Above high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,  Market areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,14,35,14,35,Afternoon,0,0,0
Tuesday,Over 51,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,No priority to pedestrian,12,25,12,25,Afternoon,0,0,0
Tuesday,18-30,Male,Unknown,Employee,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect, Industrial areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,Going straight,Driver,Normal,Not a Pedestrian,Overspeed,12,25,12,25,Afternoon,0,0,0
Monday,18-30,Male,Junior high school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,15,30,15,30,Afternoon,0,0,0
Thursday,18-30,Male,Junior high school,Employee,Above 10yr,Automobile,Governmental,Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,Moving Backward,Driver,Unknown,Not a Pedestrian,No priority to vehicle,18,10,18,10,Evening,1,0,0
Thursday,18-30,Male,Junior high school,Employee,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Reversing,Unknown,Normal,Not a Pedestrian,Changing lane to the right,15,25,15,25,Afternoon,0,0,0
Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,Automobile,Governmental,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Turnover,Driver,Normal,Not a Pedestrian,No distancing,15,25,15,25,Afternoon,0,0,0
Saturday,Over 51,Male,Junior high school,Employee,Below 1yr,Automobile,Owner,1-2yr,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,No priority to pedestrian,13,57,13,57,Afternoon,0,0,1
Saturday,18-30,Male,High school,Employee,5-10yr,Automobile,Owner,2-5yrs,No defect,Rural village areas,Undivided Two way,Gentle horizontal curve,O Shape,Asphalt roads,Dry,Daylight,Normal,Fall from vehicles,Going straight,Driver,Normal,Unknown or other,No distancing,13,57,13,57,Afternoon,0,0,1
Friday,18-30,Male,Above high school,Employee,1-2yr,Taxi,Owner,Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside-parked vehicles,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,20,30,20,30,Night,0,1,0
Friday,Over 51,Male,Junior high school,Employee,Below 1yr,Unknown,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Gentle horizontal curve,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,Other,20,30,20,30,Night,0,1,0
Friday,Over 51,Male,Unknown,Unknown,Unknown,Unknown,Owner,Unknown,Unknown,Residential areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,Going straight,Driver,Normal,Not a Pedestrian,Driving carelessly,20,30,20,30,Night,0,1,0
Sunday,Over 51,Male,High school,Employee,Below 1yr,Automobile,Owner,Unknown,7, Outside rural areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Employee,Normal,Not a Pedestrian,Changing lane to the left,16,30,16,30,Evening,1,0,1
Sunday,31-50,Male,High school,Employee,Below 1yr,Pick up upto 10Q,Owner,Above 10yr,Unknown,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Normal,Not a Pedestrian,Driving carelessly,16,30,16,30,Evening,1,0,1
Sunday,31-50,Male,Unknown,Unknown,Unknown,Unknown,Owner,5-10yrs,5, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the left,21,50,21,50,Night,0,1,1
Sunday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,21,50,21,50,Night,0,1,1
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (12 seats),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,9,12,9,12,Morning,1,0,0
Wednesday,18-30,Male,Junior high school,Employee,Above 10yr,Public (13?45 seats),Governmental,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Escarpments,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,9,12,9,12,Morning,1,0,0
Friday,31-50,Male,Junior high school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Changing lane to the right,14,40,14,40,Afternoon,0,0,0
Friday,31-50,Male,Junior high school,Employee,1-2yr,Stationwagen,Owner,2-5yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Driving at high speed,10,36,10,36,Afternoon,0,0,0
Friday,31-50,Male,Unknown,Employee,Below 1yr,Ridden horse,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No distancing,10,36,10,36,Afternoon,0,0,0
Monday,18-30,Male,Junior high school,Employee,Below 1yr,Stationwagen,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,18,19,18,19,Evening,1,0,0
Monday,18-30,Male,High school,Employee,2-5yr,Automobile,Owner,Below 1yr,Unknown,Other,Undivided Two way,Tangent road with mild grade and flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the left,18,19,18,19,Evening,1,0,0
Tuesday,18-30,Male,Junior high school,Owner,1-2yr,Automobile,Owner,5-10yrs,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Getting off the vehicle improperly,19,12,19,12,Evening,1,0,0
Tuesday,31-50,Male,Junior high school,Employee,5-10yr,Other,Governmental,5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,Other,19,12,19,12,Evening,1,0,0
Saturday,Over 51,Male,Elementary school,Employee,2-5yr,Taxi,Owner,2-5yrs,No defect,Other,Double carriageway (median),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,Going straight,Other,Normal,Not a Pedestrian,Other,11,38,11,38,Afternoon,0,0,1
Saturday,31-50,Male,Elementary school,Owner,5-10yr,Automobile,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No distancing,11,38,11,38,Afternoon,0,0,1
Saturday,31-50,Male,Junior high school,Employee,Above 10yr,Stationwagen,Owner,2-5yrs,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,11,38,11,38,Afternoon,0,0,1
Saturday,18-30,Unknown,Junior high school,Employee,5-10yr,Automobile,Owner,5-10yrs,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,Overtaking,11,38,11,38,Afternoon,0,0,1
Thursday,18-30,Male,High school,Employee,5-10yr,Public (12 seats),Organization,2-5yrs,Unknown, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,Going straight,Unknown,Unknown,Not a Pedestrian,No priority to pedestrian,13,30,13,30,Afternoon,0,0,0
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Unknown,Owner,Unknown,No defect,Residential areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,No distancing,13,30,13,30,Afternoon,0,0,0
Tuesday,18-30,Unknown,Junior high school,Employee,Above 10yr,Automobile,Governmental,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,Changing lane to the right,12,39,12,39,Afternoon,0,0,0
Tuesday,Over 51,Male,Junior high school,Unknown,1-2yr,Lorry (41?100Q),Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Unknown,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,Going straight,Employee,Normal,Not a Pedestrian,Driving carelessly,12,39,12,39,Afternoon,0,0,0
Friday,18-30,Male,Junior high school,Employee,2-5yr,Unknown,Owner,Unknown,No defect, Industrial areas,Unknown,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Changing lane to the right,12,30,12,30,Afternoon,0,0,0
Friday,31-50,Male,Junior high school,Employee,1-2yr,Public (> 45 seats),Owner,1-2yr,No defect, Industrial areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Overtaking,12,30,12,30,Afternoon,0,0,0
Sunday,31-50,Male,Unknown,Unknown,Unknown,Unknown,Owner,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Student,Normal,Not a Pedestrian,Other,16,55,16,55,Evening,1,0,1
Sunday,31-50,Male,Elementary school,Employee,5-10yr,Public (12 seats),Organization,Above 10yr,Unknown, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Driving to the left,16,55,16,55,Evening,1,0,1
Monday,Unknown,Female,Junior high school,Employee,5-10yr,Public (12 seats),Owner,Unknown,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving at high speed,18,25,18,25,Evening,1,0,0
Monday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Unknown,Unknown,Not a Pedestrian,Unknown,18,25,18,25,Evening,1,0,0
Thursday,31-50,Unknown,Junior high school,Employee,2-5yr,Unknown,Organization,5-10yrs,No defect, Hospital areas,Undivided Two way,Tangent road with mountainous terrain and,O Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,Going straight,Unknown,Unknown,Not a Pedestrian,Changing lane to the right,13,1,13,1,Afternoon,0,0,0
Thursday,18-30,Male,Junior high school,Owner,Above 10yr,Automobile,Owner,Above 10yr,No defect,Office areas,other,Tangent road with flat terrain,O Shape,Unknown,Dry,Daylight,Normal,Vehicle with vehicle collision,Unknown,Driver,Normal,Not a Pedestrian,No distancing,13,1,13,1,Afternoon,0,0,0
Wednesday,18-30,Male,Junior high school,Employee,2-5yr,Lorry (41?100Q),Owner,2-5yrs,No defect,Other,Two-way (divided with broken lines road marking),Escarpments,No junction,Gravel roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Other,13,45,13,45,Afternoon,0,0,0
Wednesday,31-50,Male,Elementary school,Other,5-10yr,Public (12 seats),Owner,1-2yr,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,No priority to vehicle,13,45,13,45,Afternoon,0,0,0
Monday,18-30,Male,Elementary school,Employee,5-10yr,Lorry (11?40Q),Owner,2-5yrs,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with mountainous terrain and,Crossing,Unknown,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Reversing,Driver,Normal,Not a Pedestrian,Changing lane to the left,18,45,18,45,Evening,1,0,0
Monday,31-50,Male,Junior high school,Unknown,5-10yr,Automobile,Owner,Unknown,No defect,Other,Double carriageway (median),Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Unknown,Unknown,Not a Pedestrian,No priority to pedestrian,18,45,18,45,Evening,1,0,0
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Tangent road with mild grade and flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Driver,Normal,Not a Pedestrian,Overtaking,11,2,11,2,Afternoon,0,0,0
Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,Driving carelessly,11,2,11,2,Afternoon,0,0,0
Thursday,31-50,Male,Junior high school,Unknown,Below 1yr,Bajaj,Owner,Unknown,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Unknown,Not a Pedestrian,No priority to vehicle,11,2,11,2,Afternoon,0,0,0
Thursday,31-50,Male,Junior high school,Employee,5-10yr,Public (12 seats),Owner,2-5yrs,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Self-employed,Normal,Not a Pedestrian,No priority to pedestrian,11,2,11,2,Afternoon,0,0,0
Tuesday,Over 51,Male,Elementary school,Employee,1-2yr,Lorry (11?40Q),Owner,5-10yrs,Unknown,Office areas,Undivided Two way,Tangent road with mountainous terrain and,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Turnover,Driver,Normal,Not a Pedestrian,Changing lane to the right,15,55,15,55,Afternoon,0,0,0
Wednesday,Over 51,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,Going straight,Unknown,Normal,Not a Pedestrian,Driving carelessly,15,0,15,0,Afternoon,0,0,0
Sunday,31-50,Male,Junior high school,Employee,Above 10yr,Unknown,Owner,5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Self-employed,Unknown,Not a Pedestrian,Changing lane to the right,20,0,20,0,Night,0,1,1
Sunday,Under 18,Male,High school,Owner,2-5yr,Automobile,Owner,Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,Going straight,Unknown,Normal,Not a Pedestrian,Changing lane to the right,20,0,20,0,Night,0,1,1
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (11?40Q),Owner,Unknown,No defect, Industrial areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,Going straight,Other,Normal,Not a Pedestrian,Changing lane to the left,18,48,18,48,Evening,1,0,0
Wednesday,31-50,Male,Junior high school,Employee,1-2yr,Lorry (41?100Q),Owner,1-2yr,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,Going straight,Driver,Unknown,Not a Pedestrian,Overturning,18,48,18,48,Evening,1,0,0
